事件编号,严重程度,等级代码,开始时间,结束时间,持续时长(min),窗口数,形态类型,形态名称,AI705工作点,AI705谷值,AI705相对下凹,恢复比例,谷值个数,候选下凹段数,轻度下凹阈值,中度下凹阈值,重度下凹阈值,轻度时长阈值(min),中度时长阈值(min),重度时长阈值(min),基线可信度,基线方法,最大单步下跌,最大原始单步下跌,下凹面积,判定依据,是否典型案例
NP-001,轻度,low,2026-03-24 18:35:36,2026-03-24 19:45:36,70.0,9,incomplete,形态不完整,99.8921,99.674,0.2181,0.6327,1,1,0.18,0.63,1.2,7.48,16.45,32.91,high,stable_segment_quantile_after_dip_exclusion,0.0,0.0,4.1689,按6h窗口剔除下凹点估计工作点 99.89，识别到形态不完整；最低 99.67，相对下凹 0.22，持续 29 min，恢复 63%，小谷 1 个，候选下凹 1 段，本设备按当前6h稳定基线和噪声计算标准：轻度>=0.18且>=7min，中度>=0.63且>=16min，重度>=1.20且>=33min 分级：轻度氮塞,是
NP-002,重度,high,2026-03-25 12:50:36,2026-03-25 16:25:36,215.0,38,incomplete,形态不完整,99.9061,97.84,2.0661,0.471,1,1,0.45,0.99,2.025,7.48,16.45,32.91,high,stable_segment_quantile_after_dip_exclusion,0.0,0.0,48.2027,按6h窗口剔除下凹点估计工作点 99.91，识别到形态不完整；最低 97.84，相对下凹 2.07，持续 30 min，恢复 47%，小谷 1 个，候选下凹 1 段，本设备按当前6h稳定基线和噪声计算标准：轻度>=0.45且>=7min，中度>=0.99且>=16min，重度>=2.02且>=33min 分级：重度氮塞,是
NP-003,轻度,low,2026-03-26 04:55:36,2026-03-26 06:15:36,80.0,11,incomplete,形态不完整,99.9061,99.7025,0.2036,0.5468,1,1,0.18,0.63,1.2,7.48,16.45,32.91,high,stable_segment_quantile_after_dip_exclusion,0.0,0.0004,4.1694,按6h窗口剔除下凹点估计工作点 99.91，识别到形态不完整；最低 99.70，相对下凹 0.20，持续 30 min，恢复 55%，小谷 1 个，候选下凹 1 段，本设备按当前6h稳定基线和噪声计算标准：轻度>=0.18且>=7min，中度>=0.63且>=16min，重度>=1.20且>=33min 分级：轻度氮塞,是
NP-004,重度,high,2026-03-28 03:25:36,2026-03-28 06:10:36,165.0,28,incomplete,形态不完整,99.8902,97.2044,2.6857,0.4885,1,1,0.18,0.63,1.2,7.48,16.45,32.91,high,stable_segment_quantile_after_dip_exclusion,0.0,0.0,62.2524,按6h窗口剔除下凹点估计工作点 99.89，识别到形态不完整；最低 97.20，相对下凹 2.69，持续 30 min，恢复 49%，小谷 1 个，候选下凹 1 段，本设备按当前6h稳定基线和噪声计算标准：轻度>=0.18且>=7min，中度>=0.63且>=16min，重度>=1.20且>=33min 分级：重度氮塞,是
NP-005,轻度,low,2026-03-28 19:05:36,2026-03-28 20:50:36,105.0,16,incomplete,形态不完整,99.8986,99.6848,0.2138,0.6257,1,1,0.18,0.63,1.2,7.48,16.45,32.91,high,stable_segment_quantile_after_dip_exclusion,0.0,0.0,3.6582,按6h窗口剔除下凹点估计工作点 99.90，识别到形态不完整；最低 99.68，相对下凹 0.21，持续 23 min，恢复 63%，小谷 1 个，候选下凹 1 段，本设备按当前6h稳定基线和噪声计算标准：轻度>=0.18且>=7min，中度>=0.63且>=16min，重度>=1.20且>=33min 分级：轻度氮塞,是
NP-006,中度,medium,2026-03-29 15:15:36,2026-03-29 17:25:36,130.0,21,incomplete,形态不完整,99.9082,99.2696,0.6385,0.6075,1,1,0.18,0.63,1.2,7.48,16.45,32.91,high,stable_segment_quantile_after_dip_exclusion,0.0,0.0,12.7567,按6h窗口剔除下凹点估计工作点 99.91，识别到形态不完整；最低 99.27，相对下凹 0.64，持续 30 min，恢复 61%，小谷 1 个，候选下凹 1 段，本设备按当前6h稳定基线和噪声计算标准：轻度>=0.18且>=7min，中度>=0.63且>=16min，重度>=1.20且>=33min 分级：中度氮塞,是
NP-007,重度,high,2026-03-29 22:35:36,2026-03-30 00:40:36,125.0,20,incomplete,形态不完整,99.9157,99.1835,0.7321,0.664,1,1,0.18,0.63,1.2,7.48,16.45,32.91,high,stable_segment_quantile_after_dip_exclusion,0.0,0.0,13.5043,按6h窗口剔除下凹点估计工作点 99.92，识别到形态不完整；最低 99.18，相对下凹 0.73，持续 30 min，恢复 66%，小谷 1 个，候选下凹 1 段，本设备按当前6h稳定基线和噪声计算标准：轻度>=0.18且>=7min，中度>=0.63且>=16min，重度>=1.20且>=33min 分级：中度氮塞,否
NP-008,中度,medium,2026-03-30 01:40:36,2026-03-30 03:35:36,115.0,18,incomplete,形态不完整,99.8734,98.8723,1.0012,0.6275,1,1,0.45,0.99,2.025,7.48,16.45,32.91,high,stable_segment_quantile_after_dip_exclusion,0.0,0.0,19.6698,按6h窗口剔除下凹点估计工作点 99.87，识别到形态不完整；最低 98.87，相对下凹 1.00，持续 30 min，恢复 63%，小谷 1 个，候选下凹 1 段，本设备按当前6h稳定基线和噪声计算标准：轻度>=0.45且>=7min，中度>=0.99且>=16min，重度>=2.02且>=33min 分级：中度氮塞,是
NP-009,中度,medium,2026-03-30 16:35:36,2026-03-30 18:40:36,125.0,20,incomplete,形态不完整,99.9272,99.2348,0.6924,0.6632,1,1,0.18,0.63,1.2,7.48,16.45,32.91,high,stable_segment_quantile_after_dip_exclusion,0.0,0.0,12.8398,按6h窗口剔除下凹点估计工作点 99.93，识别到形态不完整；最低 99.23，相对下凹 0.69，持续 30 min，恢复 66%，小谷 1 个，候选下凹 1 段，本设备按当前6h稳定基线和噪声计算标准：轻度>=0.18且>=7min，中度>=0.63且>=16min，重度>=1.20且>=33min 分级：中度氮塞,是
NP-010,重度,high,2026-03-30 23:15:36,2026-03-31 03:45:36,270.0,43,incomplete,形态不完整,99.9242,97.2231,2.7011,0.46,1,1,0.18,0.63,1.2,7.48,16.45,32.91,high,stable_segment_quantile_after_dip_exclusion,0.0,0.0,63.8223,按6h窗口剔除下凹点估计工作点 99.92，识别到形态不完整；最低 97.22，相对下凹 2.70，持续 30 min，恢复 46%，小谷 1 个，候选下凹 1 段，本设备按当前6h稳定基线和噪声计算标准：轻度>=0.18且>=7min，中度>=0.63且>=16min，重度>=1.20且>=33min 分级：重度氮塞,是
