,HY_2080_1#FIQC102_2.PV,HY_2080_1#FIC103_2.PV,HY_2080_1#FIC8.PV,HY_2080_1#FIC8.MV,HY_2080_1#FI702.PV,HY_2080_1#FIC701.PV,HY_2080_1#FIC1_1.PV,HY_2080_1#FI105.PV,HY_2080_1#FIQ101.PV,HY_2080_1#FI131.PV,HY_2080_1#AIAS102.PV,HY_2080_1#AIAS103.PV,HY_2080_1#AI701.PV,HY_2080_1#TIA703.PV,HY_2080_1#AI705.PV,HY_2080_1#AIAS704.PV,HY_2080_1#PIC104.PV,HY_2080_1#PdI2.PV,HY_2080_1#PIA2.PV,HY_2080_1#PdI1.PV,HY_2080_1#PI1.PV,HY_2080_1#TI1003.PV,HY_2080_1#LIC701.PV,HY_2080_1#FIC3.MV,HY_2540_1#TI702.PV
,产品氧气流量,产品氮气流量_待确认,液氮流量,V8液氮阀开度,氩馏分流量,粗氩流量,膨胀空气进上塔流量,膨胀机增压端空气流量,原料空气总流量,中压氮气去用户流量,产品氧气纯度,产品氮气氧含量,氩馏分氩含量,氩馏分温度,粗氩氩含量,粗氩氧含量,污氮气压力,上塔阻力,上塔压力,下塔阻力,下塔压力,原料空气入口温度,粗氩冷凝器液位,V3阀门开度,2540装置TI702温度_待确认
24-Mar-26 14:30:36,41038.78906,79553.30469,293.3920288,70,38978.95703,1665.785522,8341.222656,22866.7832,205149.5469,528.6090698,99.83054352,0.145889297,13.19075871,-184.3770142,99.87129974,0.412042409,7.09016943,3.554106236,31.38684654,4.611094475,408.1512451,I/O Timeout,285.5425415,25,-180.72052
24-Mar-26 14:40:36,41074.15625,80055.40625,292.1003113,70,39326.81641,1672.247559,8405.330078,22981.8457,205232.7344,529.2490234,99.85121155,0.146769956,13.14602757,-184.3618469,99.87202454,0.408791333,7.105528355,3.566992283,31.45369339,4.617562294,408.3882751,I/O Timeout,293.7922058,25,-180.7665558
24-Mar-26 14:50:36,41392.30859,79856.08594,293.2688904,70,38956.35938,1655.464844,8371.741211,22926.94141,204173.8125,533.3839111,99.85819244,0.125976741,12.95399666,-184.3652191,99.87765503,0.410165876,7.021440029,3.545580626,31.29774857,4.59155798,407.8218994,I/O Timeout,275.9544067,25,-180.7220154
24-Mar-26 15:00:36,41217.08984,79483.35938,293.1524658,70,39071.71094,1639.087769,8376.793945,22973.47461,204133.5938,503.2366028,99.84134674,0.115277261,13.09224129,-184.3805542,99.8862915,0.414750576,6.990742207,3.551969051,31.20501137,4.600142479,407.9301758,I/O Timeout,261.0282898,25,-180.7189941
24-Mar-26 15:10:36,41153.78125,79827.83594,293.2190247,70,39063.02344,1664.203247,8412.008789,22919.89844,204285.75,504.3395691,99.85001373,0.120121241,13.17544746,-184.3774872,99.89013672,0.420557678,6.979447365,3.555609226,31.39144707,4.571565151,408.1461487,I/O Timeout,289.1250916,25,-180.7105713
24-Mar-26 15:20:36,40767.98047,80169.9375,293.893219,70,39443.57422,1666.947388,8410.055664,23041.74414,204703.8281,481.6532593,99.87121582,0.120121241,12.96869087,-184.3649139,99.89028168,0.429940343,7.032589436,3.588197231,31.48741722,4.614073277,408.1899414,I/O Timeout,295.5567932,25,-180.6869812
24-Mar-26 15:30:36,41351.16016,80076.60938,293.1217041,70,39197.56641,1660.177979,8380.511719,22943.11523,204365.4219,443.7421875,99.8657608,0.12600024,12.79401016,-184.3805542,99.89161682,0.441129029,6.956670761,3.580251455,31.18615723,4.581068039,407.2308655,I/O Timeout,265.8352966,25,-180.6411438
24-Mar-26 15:40:36,41336.55078,79434.07031,294.6311646,70,39026.87109,1619.948486,8368.78125,22933.91016,204191.2813,391.4218445,99.84407806,0.12846826,12.93989849,-184.3805542,99.89147186,0.448351681,7.072619915,3.524679184,31.18157196,4.595796108,407.6847839,I/O Timeout,281.4552307,25,-180.6394501
24-Mar-26 15:50:36,41303.73047,79476.36719,295.3702393,70,39291.69922,1593.945313,8401.374023,22889.09766,204645.5625,579.6708984,99.84885406,0.149053335,13.08807182,-184.3805542,99.89206696,0.459450394,7.069127083,3.530101776,31.25084496,4.589026451,407.4142761,I/O Timeout,267.4498291,25,-180.6555634
