案例ID,严重程度,场景类型,设备编号,涉及测点,开始时间,结束时间,持续时长(min),峰值严重度得分,PdI1峰值,PdI2峰值,PI1峰值,PIA2峰值,FIC701峰值,LIC701峰值,AI701谷值,TIA703峰值,TI702峰值,FI131谷值,是否典型案例
NS-001,重度,压力主导,HY_2080_1#;HY_2540_1#,PI1|PIA2|PdI1|PdI2|TIA703|TI702,2026-03-26 07:27:46,2026-03-26 10:55:26,207.67,1.1005,5.6081,4.7483,430.782,36.9869,1845.7642,375.0147,12.579,-183.9126,-180.5967,43.47,是
NS-002,重度,压力主导,HY_2080_1#;HY_2540_1#,PI1|PIA2|PdI1|PdI2|TIA703|TI702,2026-03-26 11:42:56,2026-03-26 11:56:01,13.08,0.9026,5.7334,4.6933,431.1341,37.449,1574.9141,364.3646,12.4187,-183.8755,-180.5253,574.0824,否
NS-003,轻度,压力主导,HY_2080_1#;HY_2540_1#,PI1|PIA2|PdI1|PdI2|TIA703|TI702,2026-03-26 14:48:21,2026-03-26 14:49:56,1.58,0.6295,5.399,4.5233,428.5228,36.6746,1772.2826,298.7259,13.2574,-183.9673,-180.7888,596.5095,否
NS-004,中度,压力主导,HY_2080_1#;HY_2540_1#,PI1|PIA2|PdI1|PdI2|TIA703|TI702,2026-03-26 17:52:41,2026-03-26 17:55:16,2.58,0.6679,5.6883,4.5843,429.2427,36.7897,1535.2844,260.08,12.8408,-183.9688,-180.8121,762.6843,否
NS-005,中度,差压主导,HY_2080_1#;HY_2540_1#,PdI1|PdI2|PI1|PIA2|FIC701|LIC701,2026-03-26 23:32:21,2026-03-26 23:32:46,0.42,0.5893,5.4889,4.6,428.1954,36.3023,1665.7523,270.6862,13.3665,-183.9875,-180.6656,187.5415,否
NS-006,重度,压力主导,HY_2080_1#;HY_2540_1#,PI1|PIA2|PdI1|PdI2|TIA703|TI702,2026-03-26 23:49:21,2026-03-27 00:01:26,12.08,0.9421,5.7659,4.6606,431.2222,37.1883,1732.5621,329.5265,12.6148,-183.9313,-180.6833,160.1587,否
NS-007,中度,压力主导,HY_2080_1#;HY_2540_1#,PI1|PIA2|PdI1|PdI2|TIA703|TI702,2026-03-27 06:12:31,2026-03-27 06:15:21,2.83,0.7854,5.7036,4.5808,429.3112,36.8454,1727.6588,300.5216,12.9301,-183.9313,-180.6773,640.1506,否
NS-008,中度,压力主导,HY_2080_1#;HY_2540_1#,PI1|PIA2|PdI1|PdI2|TIA703|TI702,2026-03-27 06:26:51,2026-03-27 07:05:41,38.83,0.7094,5.5934,4.5278,429.578,36.7529,1720.7861,307.3838,12.0987,-183.9126,-180.6744,766.2086,否
NS-009,轻度,压力主导,HY_2080_1#;HY_2540_1#,PI1|PIA2|PdI1|PdI2|TIA703|TI702,2026-03-27 07:11:21,2026-03-27 07:30:31,19.17,0.5387,5.5092,4.5023,429.5313,36.5242,1601.5607,301.4492,12.6275,-183.95,-180.6857,745.3898,否
NS-010,中度,压力主导,HY_2080_1#;HY_2540_1#,PI1|PIA2|PdI1|PdI2|TIA703|TI702,2026-03-27 07:59:31,2026-03-27 08:35:51,36.33,0.6302,5.5283,4.591,429.425,36.7019,1631.6984,301.6341,12.5952,-183.9126,-180.5965,53.5642,否
NS-011,中度,压力主导,HY_2080_1#;HY_2540_1#,PI1|PIA2|PdI1|PdI2|TIA703|TI702,2026-03-27 12:13:11,2026-03-27 12:16:06,2.92,0.7149,5.6987,4.5411,429.4209,36.6433,1693.6088,307.9391,13.0028,-184.0062,-180.651,962.5975,否
NS-012,轻度,差压主导,HY_2080_1#;HY_2540_1#,PdI1|PdI2|PI1|PIA2|FIC701|LIC701,2026-03-28 00:18:21,2026-03-28 00:21:06,2.75,0.8107,5.6882,4.5598,429.243,36.6503,1820.657,289.9843,12.9286,-184.0281,-180.7717,578.5507,是
NS-013,中度,压力主导,HY_2080_1#;HY_2540_1#,PI1|PIA2|PdI1|PdI2|TIA703|TI702,2026-03-28 16:09:31,2026-03-28 16:23:16,13.75,0.8434,5.5917,4.521,429.1552,36.6731,1727.2541,368.7545,12.908,-184.0624,-180.737,502.8768,否
NS-014,中度,压力主导,HY_2080_1#;HY_2540_1#,PI1|PIA2|PdI1|PdI2|TIA703|TI702,2026-03-28 16:43:41,2026-03-28 17:07:06,23.42,0.9963,5.6023,4.5582,429.7988,36.8149,1816.7684,387.3886,12.9679,-184.025,-180.7367,520.4462,是
NS-015,重度,压力主导,HY_2080_1#;HY_2540_1#,PI1|PIA2|PdI1|PdI2|TIA703|TI702,2026-03-28 23:45:46,2026-03-28 23:53:46,8.0,1.0419,5.7625,4.5876,430.0216,37.001,1800.7642,344.1704,12.2193,-183.969,-180.6399,596.6469,否
NS-016,中度,差压主导,HY_2080_1#;HY_2540_1#,PdI1|PdI2|PI1|PIA2|FIC701|LIC701,2026-03-29 23:45:41,2026-03-29 23:47:26,1.75,0.9087,5.7083,4.5052,427.9977,36.5657,1743.3761,373.8436,12.3402,-184.0813,-180.7801,817.3901,是
NS-017,中度,压力主导,HY_2080_1#;HY_2540_1#,PI1|PIA2|PdI1|PdI2|TIA703|TI702,2026-03-30 05:44:51,2026-03-30 05:52:31,7.67,0.8705,5.6715,4.5117,428.0159,36.7861,1753.2145,403.2141,12.1967,-184.0318,-180.7339,660.1776,否
NS-018,重度,压力主导,HY_2080_1#;HY_2540_1#,PI1|PIA2|PdI1|PdI2|TIA703|TI702,2026-03-30 06:54:21,2026-03-30 07:09:01,14.67,0.5525,5.4756,4.421,427.823,36.9102,1576.1046,333.9818,12.8784,-184.0624,-180.7231,529.9476,否
NS-019,轻度,压力主导,HY_2080_1#;HY_2540_1#,PI1|PIA2|PdI1|PdI2|TIA703|TI702,2026-03-30 07:17:46,2026-03-30 07:20:36,2.83,0.4401,5.422,4.381,427.7367,36.6643,1550.6495,299.4845,12.8567,-184.0624,-180.735,504.6341,否
NS-020,重度,差压主导,HY_2080_1#;HY_2540_1#,PdI1|PdI2|PI1|PIA2|FIC701|LIC701,2026-03-30 10:19:21,2026-03-30 10:21:26,2.08,0.8052,5.7009,4.6825,425.1292,35.9375,1712.8754,334.8929,12.4502,-184.1076,-180.7455,657.9832,否
NS-021,重度,差压主导,HY_2080_1#;HY_2540_1#,PdI1|PdI2|PI1|PIA2|FIC701|LIC701,2026-03-30 23:40:21,2026-03-30 23:44:56,4.58,0.7316,5.807,4.5547,427.6641,36.4176,1732.1622,275.7055,12.8425,-184.1093,-180.7247,626.6716,否
NS-022,中度,差压主导,HY_2080_1#;HY_2540_1#,PdI1|PdI2|PI1|PIA2|FIC701|LIC701,2026-03-31 05:40:36,2026-03-31 05:42:01,1.42,0.7231,5.6944,4.5057,427.4361,36.138,1769.7534,302.3292,13.0367,-184.0483,-180.7276,611.04,否
NS-023,重度,差压主导,HY_2080_1#;HY_2540_1#,PdI1|PdI2|PI1|PIA2|FIC701|LIC701,2026-03-31 11:38:01,2026-03-31 11:42:36,4.58,0.8775,5.8493,4.5677,428.3777,36.7168,1751.2166,302.0055,12.3699,-184.0061,-180.7284,1215.1362,否
NS-024,重度,差压主导,HY_2080_1#;HY_2540_1#,PdI1|PdI2|PI1|PIA2|FIC701|LIC701,2026-03-31 11:52:36,2026-03-31 11:53:46,1.17,0.7216,5.6172,4.6283,428.4463,36.5265,1649.2208,299.9474,12.0975,-184.0062,-180.6856,1214.5243,否
NS-025,中度,差压主导,HY_2080_1#;HY_2540_1#,PdI1|PdI2|PI1|PIA2|FIC701|LIC701,2026-03-31 11:55:11,2026-03-31 12:00:46,5.58,0.7387,5.7217,4.5062,428.4463,36.5459,1690.1647,327.093,12.3075,-184.0062,-180.6722,1214.1407,否
NS-026,重度,压力主导,HY_2080_1#;HY_2540_1#,PI1|PIA2|PdI1|PdI2|TIA703|TI702,2026-03-31 12:34:56,2026-03-31 17:17:46,282.83,0.9787,5.8007,4.714,430.3324,36.8939,1840.5217,399.8164,11.9481,-183.9503,-180.6329,495.5711,否
NS-027,重度,压力主导,HY_2080_1#;HY_2540_1#,PI1|PIA2|PdI1|PdI2|TIA703|TI702,2026-03-31 17:19:51,2026-03-31 18:13:16,53.42,1.4479,6.0555,4.7418,432.0446,37.431,1837.0117,384.5926,12.4374,-183.9501,-180.6275,48.3179,是
NS-028,重度,压力主导,HY_2080_1#;HY_2540_1#,PI1|PIA2|PdI1|PdI2|TIA703|TI702,2026-03-31 18:15:01,2026-03-31 21:13:16,178.25,0.9816,5.6942,4.6645,430.2913,36.8213,1741.4746,369.2869,12.4937,-183.9688,-180.6364,61.2944,否
NS-029,轻度,压力主导,HY_2080_1#;HY_2540_1#,PI1|PIA2|PdI1|PdI2|TIA703|TI702,2026-03-31 21:18:46,2026-03-31 21:47:36,28.83,0.7268,5.5902,4.5857,429.5573,36.5866,1733.526,313.3366,12.799,-183.9688,-180.7139,844.6626,是
NS-030,中度,压力主导,HY_2080_1#;HY_2540_1#,PI1|PIA2|PdI1|PdI2|TIA703|TI702,2026-03-31 22:04:46,2026-03-31 23:13:56,69.17,0.7519,5.5765,4.5662,429.8235,36.8504,1709.2344,342.2519,12.6397,-183.9313,-180.7008,412.1969,否
NS-031,重度,压力主导,HY_2080_1#;HY_2540_1#,PI1|PIA2|PdI1|PdI2|TIA703|TI702,2026-03-31 23:33:21,2026-03-31 23:45:31,12.17,0.9484,5.8457,4.549,430.7788,37.1868,1751.8856,330.8224,12.6007,-183.95,-180.7342,430.8313,否
NS-032,中度,压力主导,HY_2080_1#;HY_2540_1#,PI1|PIA2|PdI1|PdI2|TIA703|TI702,2026-03-31 23:47:11,2026-04-01 00:08:11,21.0,0.7673,5.5384,4.547,430.2243,36.8742,1732.9774,360.7884,12.4752,-183.9318,-180.7088,258.1785,否
NS-033,重度,压力主导,HY_2080_1#;HY_2540_1#,PI1|PIA2|PdI1|PdI2|TIA703|TI702,2026-04-01 22:58:56,2026-04-02 00:31:46,92.83,1.0474,5.9615,4.7293,433.0884,37.371,1721.1243,403.02,12.0351,-183.8755,-180.6084,188.5991,否
NS-034,轻度,压力主导,HY_2080_1#;HY_2540_1#,PI1|PIA2|PdI1|PdI2|TIA703|TI702,2026-04-02 00:59:16,2026-04-02 01:22:36,23.33,0.7565,5.5988,4.5232,429.357,36.2662,1722.0999,347.2274,12.8791,-183.9688,-180.6151,668.8094,是
NS-035,轻度,差压主导,HY_2080_1#;HY_2540_1#,PdI1|PdI2|PI1|PIA2|FIC701|LIC701,2026-04-02 01:47:51,2026-04-02 02:02:16,14.42,0.761,5.5917,4.5821,429.2679,36.3238,1733.2223,332.3356,12.7617,-183.9315,-180.6235,469.935,是
NS-036,重度,差压主导,HY_2080_1#;HY_2540_1#,PdI1|PdI2|PI1|PIA2|FIC701|LIC701,2026-04-02 05:09:41,2026-04-02 05:10:31,0.83,0.683,5.6376,4.6357,428.286,36.1046,1688.6411,276.9273,12.7317,-183.9668,-180.685,474.8218,否
NS-037,重度,压力主导,HY_2080_1#;HY_2540_1#,PI1|PIA2|PdI1|PdI2|TIA703|TI702,2026-04-02 05:30:36,2026-04-02 09:23:36,233.0,0.9526,5.9125,4.6928,431.358,36.9218,1779.4302,354.9568,12.3885,-183.8941,-180.6282,45.579,否
NS-038,重度,压力主导,HY_2080_1#;HY_2540_1#,PI1|PIA2|PdI1|PdI2|TIA703|TI702,2026-04-02 10:16:31,2026-04-02 12:05:56,109.42,1.4833,5.9551,4.6848,432.2682,37.2502,2434.074,394.5302,11.648,-183.9315,-180.6298,663.8627,是
NS-039,重度,差压主导,HY_2080_1#;HY_2540_1#,PdI1|PdI2|PI1|PIA2|FIC701|LIC701,2026-04-02 14:58:41,2026-04-02 15:02:31,3.83,1.474,5.6548,4.5739,428.8683,36.421,2261.001,398.602,12.4998,-184.0625,-180.666,1133.3114,是
NS-040,重度,压力主导,HY_2080_1#;HY_2540_1#,PI1|PIA2|PdI1|PdI2|TIA703|TI702,2026-04-02 17:30:41,2026-04-02 20:02:11,151.5,1.0182,5.9344,4.627,430.261,36.7548,1750.7449,359.2692,11.7966,-184.0062,-180.65,52.4316,否
NS-041,重度,压力主导,HY_2080_1#;HY_2540_1#,PI1|PIA2|PdI1|PdI2|TIA703|TI702,2026-04-02 20:07:01,2026-04-03 00:22:56,255.92,1.1651,6.0326,4.7859,432.5381,37.352,1909.4591,398.9282,12.27,-183.9502,-180.6809,47.3524,是
NS-042,中度,差压主导,HY_2080_1#;HY_2540_1#,PdI1|PdI2|PI1|PIA2|FIC701|LIC701,2026-04-03 05:26:31,2026-04-03 05:27:06,0.58,0.5742,5.598,4.6012,425.7844,35.8983,1685.2413,277.9054,12.645,-184.0975,-180.7234,495.8255,否
NS-043,重度,差压主导,HY_2080_1#;HY_2540_1#,PdI1|PdI2|PI1|PIA2|FIC701|LIC701,2026-04-03 05:47:56,2026-04-03 05:54:01,6.08,0.9346,5.8743,4.621,427.9548,36.6854,1734.9633,309.5095,12.4808,-184.0063,-180.7041,44.1611,否
NS-044,重度,差压主导,HY_2080_1#;HY_2540_1#,PdI1|PdI2|PI1|PIA2|FIC701|LIC701,2026-04-03 06:01:01,2026-04-03 06:03:31,2.5,0.7553,5.6678,4.6277,428.2777,36.5662,1718.1494,289.5569,12.3911,-184.0176,-180.6974,159.3229,否
NS-045,中度,压力主导,HY_2080_1#;HY_2540_1#,PI1|PIA2|PdI1|PdI2|TIA703|TI702,2026-04-03 06:04:36,2026-04-03 06:13:36,9.0,0.8474,5.715,4.572,429.2439,36.6977,1733.1697,311.591,12.4613,-184.0062,-180.7084,102.4574,否
NS-046,中度,差压主导,HY_2080_1#;HY_2540_1#,PdI1|PdI2|PI1|PIA2|FIC701|LIC701,2026-04-03 06:15:26,2026-04-03 06:24:26,9.0,0.9264,5.6892,4.5825,428.6258,36.631,1748.9252,353.8935,12.5456,-184.017,-180.7203,99.3617,是
NS-047,轻度,差压主导,HY_2080_1#;HY_2540_1#,PdI1|PdI2|PI1|PIA2|FIC701|LIC701,2026-04-03 06:47:36,2026-04-03 06:58:26,10.83,0.7453,5.6438,4.5817,428.624,36.6414,1763.1499,298.3944,12.8469,-184.0249,-180.7547,493.7912,是
NS-048,轻度,差压主导,HY_2080_1#;HY_2540_1#,PdI1|PdI2|PI1|PIA2|FIC701|LIC701,2026-04-03 07:25:31,2026-04-03 07:36:31,11.0,0.6916,5.6487,4.5817,428.3128,36.4975,1672.6064,322.9264,12.8441,-184.0436,-180.7542,677.4368,否
NS-049,重度,差压主导,HY_2080_1#;HY_2540_1#,PdI1|PdI2|PI1|PIA2|FIC701|LIC701,2026-04-03 07:45:21,2026-04-03 07:51:26,6.08,0.6212,5.6765,4.6242,427.9961,36.3607,1487.3535,299.2042,12.8326,-184.0537,-180.7469,593.2121,否
NS-050,中度,压力主导,HY_2080_1#;HY_2540_1#,PI1|PIA2|PdI1|PdI2|TIA703|TI702,2026-04-03 08:01:16,2026-04-03 08:46:41,45.42,0.8077,5.636,4.6073,429.3136,36.778,1682.8741,346.1231,12.3235,-184.0062,-180.7452,330.9984,否
NS-051,轻度,差压主导,HY_2080_1#;HY_2540_1#,PdI1|PdI2|PI1|PIA2|FIC701|LIC701,2026-04-03 10:27:26,2026-04-03 10:29:21,1.92,0.7996,5.614,4.5797,428.1742,36.4255,1779.4324,295.7926,12.1987,-184.0196,-180.7481,486.8544,是
NS-052,重度,差压主导,HY_2080_1#;HY_2540_1#,PdI1|PdI2|PI1|PIA2|FIC701|LIC701,2026-04-03 11:22:21,2026-04-03 11:25:16,2.92,0.911,5.6078,4.6447,428.4775,36.5827,1708.4449,374.9915,12.6808,-184.0624,-180.7452,491.5458,否
NS-053,轻度,差压主导,HY_2080_1#;HY_2540_1#,PdI1|PdI2|PI1|PIA2|FIC701|LIC701,2026-04-03 11:26:56,2026-04-03 11:29:21,2.42,0.6455,5.588,4.5813,428.3031,36.6479,1709.1392,283.8224,12.6662,-184.0624,-180.7478,471.5307,否
NS-054,重度,压力主导,HY_2080_1#;HY_2540_1#,PI1|PIA2|PdI1|PdI2|TIA703|TI702,2026-04-03 11:45:06,2026-04-03 11:53:31,8.42,0.9979,5.9212,4.6768,429.1562,37.176,1732.1897,317.5174,12.2367,-184.0249,-180.743,461.4197,否
NS-055,中度,差压主导,HY_2080_1#;HY_2540_1#,PdI1|PdI2|PI1|PIA2|FIC701|LIC701,2026-04-03 17:25:21,2026-04-03 17:26:16,0.92,0.6648,5.5803,4.6071,425.0405,35.8324,1694.2736,331.7506,12.8271,-184.1097,-180.7686,914.6959,否
NS-056,重度,压力主导,HY_2080_1#;HY_2540_1#,PI1|PIA2|PdI1|PdI2|TIA703|TI702,2026-04-03 17:46:36,2026-04-03 17:53:51,7.25,1.05,5.8589,4.6837,429.6098,37.1481,1762.8221,327.6953,12.3349,-184.0064,-180.7637,918.9133,否
